Financial Times,TMT,http://www.ft.com/rss/companies/telecoms
Financial Times,TMT,http://www.ft.com/rss/companies/media
Financial Times,TMT,http://www.ft.com/rss/companies/technology
The Telegraph,TMT,http://www.telegraph.co.uk/technology/news/rss
CNBC,TMT,http://www.cnbc.com/id/10000110/device/rss/rss.html
CNBC,TMT,http://www.cnbc.com/id/19854910/device/rss/rss.html
Forbes,TMT,http://www.forbes.com/technology/feed/
Financial Times,Consumer & Retail,http://www.ft.com/rss/companies/retail
Financial Times,Consumer & Retail,http://www.ft.com/rss/companies/personal-goods
Financial Times,Consumer & Retail,http://www.ft.com/rss/companies/food-beverage
CNBC,Consumer & Retail,http://www.cnbc.com/id/10000116/device/rss/rss.html
The Telegraph,Consumer & Retail,http://www.telegraph.co.uk/finance/businessclub/business-club-video/consumer-and-retail-sector-vide/rss
The Wall Street Journal,Consumer & Retail,http://www.wsj.com/xml/rss/3_7422.xml
Financial Times,Consumer & Retail,http://www.ft.com/rss/companies/retail-consumer
The Wall Street Journal,Healthcare,http://www.wsj.com/xml/rss/3_7089.xml
CNBC,Healthcare,http://www.cnbc.com/id/10000108/device/rss/rss.html
Financial Times,Healthcare,http://www.ft.com/rss/companies/healthcare
Financial Times,Healthcare,http://www.ft.com/rss/companies/health
Forbes,Healthcare,http://www.forbes.com/healthcare/feed/
Financial Times,Real Estate,http://www.ft.com/rss/companies/property
Financial Times,Real Estate,http://www.ft.com/rss/companies/construction
The Telegraph,Real Estate,http://www.telegraph.co.uk/finance/property/news/rss
The Telegraph,Real Estate,http://www.telegraph.co.uk/finance/property/property-market/rss
The Wall Street Journal,Real Estate,http://www.wsj.com/xml/rss/3_7400.xml
The Wall Street Journal,Real Estate,http://www.wsj.com/xml/rss/3_7401.xml
CNBC,Real Estate,http://www.cnbc.com/id/10000115/device/rss/rss.html
CNBC,Financial Services,http://www.cnbc.com/id/10000664/device/rss/rss.html
Financial Times,Financial Services,http://www.ft.com/rss/companies/financial-services
Financial Times,Financial Services,http://www.ft.com/rss/companies/financials
The Telegraph,Financial Services,http://www.telegraph.co.uk/finance/rss
Financial Times,Infrastructure and Utilities,http://www.ft.com/rss/companies/transport
The Telegraph,Infrastructure and Utilities,http://www.telegraph.co.uk/finance/newsbysector/utilities/rss
The Telegraph,Infrastructure and Utilities,http://www.telegraph.co.uk/finance/newsbysector/transport/rss
Financial Times,Infrastructure and Utilities,http://www.ft.com/rss/companies/utilities
Financial Times,Infrastructure and Utilities,http://www.ft.com/rss/companies/rail
CNBC,Natural Resources,http://www.cnbc.com/id/19836768/device/rss/rss.html
Financial Times,Natural Resources,http://www.ft.com/rss/companies/energy
Financial Times,Natural Resources,http://www.ft.com/rss/companies/oil-gas
The Telegraph,Natural Resources,http://www.telegraph.co.uk/finance/newsbysector/energy/oilandgas/rss
The Telegraph,Natural Resources,http://www.telegraph.co.uk/finance/newsbysector/energy/rss
CNBC,Industrials,http://www.cnbc.com/id/10000101/device/rss/rss.html
Forbes,Industrials,http://www.forbes.com/autos/feed/
Financial Times,Industrials,http://www.ft.com/rss/companies/automobiles
Financial Times,Industrials,http://www.ft.com/rss/companies/industrials
Financial Times,Industrials,http://www.ft.com/rss/companies/industrial-goods
Financial Times,Business & Support Services,http://www.ft.com/rss/companies/support-services
The Telegraph,Business & Support Services,http://www.telegraph.co.uk/finance/newsbysector/supportservices/rss
